Day,item1,Item 2,Item 3,Item 4,Item 5
1,48,33,43,15,52
2,42,50,22,50,14
3,35,36,29,12,56
4,32,23,31,44,39
5,28,25,55,45,60
6,32,41,10,54,54
7,43,31,44,10,21
8,20,43,40,17,14
9,50,55,33,43,20
10,44,44,27,20,21
11,33,19,25,33,29
12,54,18,40,45,25
13,47,29,63,30,16
14,58,50,59,30,32
15,42,36,16,48,13
16,63,54,38,47,13
17,25,52,29,41,65
18,67,19,32,55,58
19,11,33,35,66,47
20,23,32,43,48,15
21,30,23,46,38,34
22,43,38,43,20,59
23,11,41,66,30,56
24,63,40,29,27,63
25,27,39,39,66,39
26,17,25,55,42,12
27,34,32,44,53,48
28,34,46,33,27,45
29,53,27,39,15,65
30,43,23,41,31,57
